shift_id,date,start_time,end_time,hours_worked,location
SHF0001,2025-01-14,17:00,21:00,4.0,Campus Library
SHF0002,2025-01-16,17:00,21:00,3.5,Campus Library
SHF0003,2025-01-21,17:00,21:00,3.4,Campus Library
SHF0004,2025-01-23,17:00,21:00,4.5,Campus Library
SHF0005,2025-01-25,09:00,17:00,5.2,Campus Library
SHF0006,2025-01-30,17:00,21:00,3.9,Campus Library
SHF0007,2025-02-01,09:00,17:00,4.5,Campus Library
SHF0008,2025-02-04,17:00,21:00,3.7,Campus Library
SHF0009,2025-02-06,17:00,21:00,3.5,Campus Library
SHF0010,2025-02-08,09:00,17:00,4.3,Campus Library
SHF0011,2025-02-11,17:00,21:00,3.5,Campus Library
SHF0012,2025-02-18,17:00,21:00,3.5,Campus Library
SHF0013,2025-02-20,17:00,21:00,3.4,Campus Library
SHF0014,2025-02-22,09:00,17:00,7.7,Campus Library
SHF0015,2025-02-25,17:00,21:00,3.9,Campus Library
SHF0016,2025-03-04,17:00,21:00,3.2,Campus Library
SHF0017,2025-03-06,17:00,21:00,3.8,Campus Library
SHF0018,2025-03-08,09:00,17:00,6.9,Campus Library
SHF0019,2025-03-11,17:00,21:00,5.0,Campus Library
SHF0020,2025-03-13,17:00,21:00,3.8,Campus Library
SHF0021,2025-03-15,09:00,17:00,7.4,Campus Library
SHF0022,2025-03-18,17:00,21:00,3.4,Campus Library
SHF0023,2025-03-20,17:00,21:00,3.8,Campus Library
SHF0024,2025-03-22,09:00,17:00,5.0,Campus Library
SHF0025,2025-03-27,17:00,21:00,4.7,Campus Library
SHF0026,2025-03-29,09:00,17:00,4.2,Campus Library
SHF0027,2025-04-12,09:00,17:00,5.9,Campus Library
SHF0028,2025-04-15,17:00,21:00,3.8,Campus Library
SHF0029,2025-04-17,17:00,21:00,3.8,Campus Library
SHF0030,2025-04-22,17:00,21:00,4.6,Campus Library
SHF0031,2025-04-24,17:00,21:00,3.8,Campus Library
SHF0032,2025-05-01,17:00,21:00,4.4,Campus Library
